[17-11-2020 || 20:28:11.530] Session started at 17/11/2020
[17-11-2020 || 20:28:13.05] ”вы, мы временно вынуждены отказатьс€ от ботов. (≈сли у вас есть возможность из держать, пишите: vk.com/haclourred
[17-11-2020 || 20:31:12.362] Logging ended

[17-11-2020 || 20:31:28.483] Session started at 17/11/2020
[17-11-2020 || 20:31:29.941] ”вы, мы временно вынуждены отказатьс€ от ботов. (≈сли у вас есть возможность из держать, пишите: vk.com/haclourred
[17-11-2020 || 20:32:36.786] Logging ended

[17-11-2020 || 20:32:51.790] Session started at 17/11/2020
[17-11-2020 || 20:32:53.545] ”вы, мы временно вынуждены отказатьс€ от ботов. (≈сли у вас есть возможность из держать, пишите: vk.com/haclourred
[17-11-2020 || 20:35:06.895] »грок Valerchique_Karaziy отключилс€ от сервера.
[17-11-2020 || 20:35:11.181] Logging ended

