;ragdoll_joint.dat
;datas of springs between points are defined in this file
;
;point1	point2	spring	maxlen	minlen
0	1	500.0	1.0	1.0
0	10	500.0	1.0	1.0
0	13	500.0	1.0	1.0
0	2	400.0	1.2	0.8
0	4	200.0	1.2	0.8
0	7	200.0	1.2	0.8
1	2	500.0	1.0	1.0
1	4	500.0	1.0	1.0
1	7	500.0	1.0	1.0
1	3	400.0	1.2	1.0
1	10	400.0	1.2	0.8
1	11	200.0	1.2	0.8
1	12	100.0	1.2	0.8
1	13	400.0	1.2	0.8
1	14	200.0	1.2	0.8
1	15	100.0	1.2	0.8
2	3	500.0	1.0	1.0
2	4	500.0	1.0	1.0
2	7	500.0	1.0	1.0
2	5	400.0	1.2	0.8
2	6	200.0	1.2	0.8
2	8	400.0	1.2	0.8
2	9	200.0	1.2	0.8
2	10	200.0	1.2	0.8
2	11	100.0	1.2	0.8
2	13	200.0	1.2	0.8
2	14	100.0	1.2	0.8
3	4	400.0	1.2	1.0
3	7	400.0	1.2	1.0
4	5	500.0	1.0	1.0
4	7	500.0	1.0	1.0
4	6	400.0	1.2	0.8
4	8	200.0	1.2	0.8
4	9	100.0	1.2	0.8
4	13	400.0	1.0	0.6
5	6	500.0	1.0	1.0
7	8	500.0	1.0	1.0
7	9	400.0	1.2	0.8
7	5	200.0	1.2	0.8
7	6	100.0	1.2	0.8
7	10	400.0	1.0	0.6
8	9	500.0	1.0	1.0
10	11	500.0	1.0	1.0
10	13	500.0	1.0	1.0
10	12	400.0	1.2	0.8
11	12	500.0	1.0	1.0
13	14	500.0	1.0	1.0
13	15	400.0	1.2	0.8
14	15	500.0	1.0	1.0
