[00:39:34.658922] (system)	Session started.
[00:39:34.659909] (debug)	Module handle: 65C80000

MoonLoader v.026.5-beta loaded.
Developers: FYP, hnnssy, EvgeN 1137

Copyright (c) 2016, BlastHack Team
http://blast.hk/moonloader/

[00:39:34.659909] (info)	Working directory: D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader
[00:39:34.659909] (debug)	FP Control: 0009001F
[00:39:34.660900] (debug)	Game: GTA SA 1.0.0.0 US
[00:39:34.660900] (system)	Installing pre-game hooks...
[00:39:34.662881] (system)	Hooks installed.
[00:39:37.308901] (debug)	Initializing opcode handler table
[00:39:37.308901] (debug)	package.path = D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\lib\?.lua;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\lib\?\init.lua;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\?.lua;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\?\init.lua;.\?.lua;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\lib\?.luac;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\lib\?\init.luac;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\?.luac;D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\?\init.luac;.\?.luac
[00:39:37.308901] (debug)	package.cpath = D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\lib\?.dll;
[00:39:37.309891] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\AntiRvanka.lua'...
[00:39:37.310882] (debug)	New script: 0E81D33C
[00:39:37.323751] (system)	AntiRvanka.lua: Loaded successfully.
[00:39:37.323751] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\arz_carslap.luac'...
[00:39:37.323751] (debug)	New script: 0E81E134
[00:39:37.331669] (system)	arz_carslap.luac: Loaded successfully.
[00:39:37.332657] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\AutoReboot.lua'...
[00:39:37.332657] (debug)	New script: 0E81D98C
[00:39:37.334634] (system)	ML-AutoReboot: Loaded successfully.
[00:39:37.334634] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\bypass.lua'...
[00:39:37.334634] (debug)	New script: 0E81DE24
[00:39:37.343545] (system)	bypass.lua: Loaded successfully.
[00:39:37.343545] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\bypasser.lua'...
[00:39:37.343545] (debug)	New script: 0E81E2BC
[00:39:37.363340] (system)	bypasser.lua: Loaded successfully.
[00:39:37.364330] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\carshot.lua'...
[00:39:37.364330] (debug)	New script: 0E81E444
[00:39:37.373238] (system)	carshot.lua: Loaded successfully.
[00:39:37.373238] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\carshot_chat_add.lua'...
[00:39:37.373238] (debug)	New script: 0E81E5CC
[00:39:37.383136] (system)	CSChatAdd: Loaded successfully.
[00:39:37.383136] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\CheatHelper.lua'...
[00:39:37.383136] (debug)	New script: 0E81D804
[00:39:37.396004] (system)	CheatHelper: Loaded successfully.
[00:39:37.396004] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\check-moonloader-updates.lua'...
[00:39:37.396004] (debug)	New script: 0E81DB14
[00:39:37.398974] (system)	Check MoonLoader Updates: Loaded successfully.
[00:39:37.398974] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\CreepTonInvis.luac'...
[00:39:37.398974] (debug)	New script: 0E81DFAC
[00:39:37.428667] (system)	CreepTonInvis.luac: Loaded successfully.
[00:39:37.428667] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\egun.luac'...
[00:39:37.428667] (debug)	New script: 0E88B1DC
[00:39:37.442524] (system)	egun.luac: Loaded successfully.
[00:39:37.442524] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\EnterCar.lua'...
[00:39:37.442524] (debug)	New script: 0E88BE1C
[00:39:37.449454] (system)	EnterCar.lua: Loaded successfully.
[00:39:37.450445] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\F-CAR.lua'...
[00:39:37.450445] (debug)	New script: 0E88B674
[00:39:37.463311] (system)	F-CAR.lua: Loaded successfully.
[00:39:37.463311] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\fly.luac'...
[00:39:37.463311] (debug)	New script: 0E88C5C4
[00:39:37.468259] (system)	fly.luac: Loaded successfully.
[00:39:37.468259] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\gagarin.lua'...
[00:39:37.468259] (debug)	New script: 0E88C2B4
[00:39:37.479148] (system)	gagarin.lua: Loaded successfully.
[00:39:37.479148] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\GORYASHIYCAR.luac'...
[00:39:37.480137] (debug)	New script: 0E88BFA4
[00:39:37.499935] (system)	GORYASHIYCAR.luac: Loaded successfully.
[00:39:37.499935] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\INVI.lua'...
[00:39:37.499935] (debug)	New script: 0E88B7FC
[00:39:37.504884] (system)	INVI.lua: Loaded successfully.
[00:39:37.504884] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\Multi_AyE_Cheats_by ]GsH[MeG@LaDo[N].luac'...
[00:39:37.504884] (debug)	New script: 0E88CD6C
[00:39:37.516762] (system)	Multi Cheats by ]GsH[MeG@LaDo[N]: Loaded successfully.
[00:39:37.516762] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\POMOYKA MODE.lua'...
[00:39:37.516762] (debug)	New script: 0E88B984
[00:39:37.522699] (system)	POMOYKAMod: Loaded successfully.
[00:39:37.522699] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\RainbowClist.lua'...
[00:39:37.522699] (debug)	New script: 0E88BB0C
[00:39:37.533589] (system)	RainbowClist: Loaded successfully.
[00:39:37.533589] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\reload_all.lua'...
[00:39:37.533589] (debug)	New script: 0E88B364
[00:39:37.534579] (system)	ML-ReloadAll: Loaded successfully.
[00:39:37.534579] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\scar.lua'...
[00:39:37.534579] (debug)	New script: 0E88C74C
[00:39:37.540520] (system)	scar.lua: Loaded successfully.
[00:39:37.540520] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\SF Integration.lua'...
[00:39:37.540520] (debug)	New script: 0E88CEF4
[00:39:37.543488] (system)	SF Integration: Loaded successfully.
[00:39:37.543488] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\SlapperBYs3nder.luac'...
[00:39:37.543488] (debug)	New script: 0E88CBE4
[00:39:37.553385] (system)	SlapperBYs3nder.luac: Loaded successfully.
[00:39:37.553385] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\syncer.lua'...
[00:39:37.553385] (debug)	New script: 0E88BC94
[00:39:37.573180] (system)	syncer.lua: Loaded successfully.
